latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
41.1904,32.63451,302.34,0.46,0.47,2022-08-30,0018,N,nominal,2.0NRT,291.17,1.23,N
41.17661,32.63453,303.55,0.46,0.47,2022-08-30,0018,N,nominal,2.0NRT,292.05,1.09,N
41.17244,32.63273,304.72,0.46,0.47,2022-08-30,0018,N,nominal,2.0NRT,290.74,0.78,N
43.65757,11.83569,299.75,0.41,0.6,2022-08-30,0018,N,nominal,2.0NRT,287.91,0.7,N
42.26089,25.79384,298.41,0.39,0.36,2022-08-30,0018,N,nominal,2.0NRT,288.05,0.43,N
42.20111,25.70559,301.47,0.39,0.36,2022-08-30,0018,N,nominal,2.0NRT,290.29,0.64,N
42.59058,23.10454,297.88,0.4,0.37,2022-08-30,0018,N,nominal,2.0NRT,285.69,0.51,N
43.22207,17.32575,307.41,0.43,0.46,2022-08-30,0018,N,nominal,2.0NRT,287.24,2.43,N
43.22163,17.33086,302.67,0.43,0.46,2022-08-30,0018,N,nominal,2.0NRT,287.6,1.75,N
43.21782,17.3252,328.12,0.43,0.46,2022-08-30,0018,N,nominal,2.0NRT,288,2.43,N
43.21694,17.33553,316.31,0.43,0.46,2022-08-30,0018,N,nominal,2.0NRT,287.66,1.75,N
43.2188,17.32458,330.14,0.43,0.46,2022-08-30,0018,N,nominal,2.0NRT,288.22,3.88,N
43.21787,17.33478,319.28,0.43,0.46,2022-08-30,0018,N,nominal,2.0NRT,288.5,1.92,N
40.76396,32.21651,308.25,0.45,0.47,2022-08-30,0018,N,nominal,2.0NRT,286.46,1.62,N
41.62981,27.68451,307.34,0.43,0.38,2022-08-30,0018,N,nominal,2.0NRT,292.73,1,N
41.79745,26.70179,306.76,0.4,0.37,2022-08-30,0018,N,nominal,2.0NRT,291.55,1.03,N
41.63404,27.50579,306.98,0.42,0.38,2022-08-30,0018,N,nominal,2.0NRT,292.51,1.08,N
42.8856,17.89558,295.32,0.4,0.44,2022-08-30,0018,N,nominal,2.0NRT,277.49,0.55,N
42.87336,17.89275,310.23,0.4,0.44,2022-08-30,0018,N,nominal,2.0NRT,274,0.96,N
41.01955,28.55515,315.28,0.46,0.39,2022-08-30,0018,N,nominal,2.0NRT,292.57,2.3,N
40.41393,29.11915,309,0.5,0.41,2022-08-30,0018,N,nominal,2.0NRT,292.81,1.56,N
40.44665,27.13299,317.44,0.42,0.38,2022-08-30,0018,N,nominal,2.0NRT,294.05,2.15,N
42.00713,12.71417,309.02,0.36,0.57,2022-08-30,0018,N,nominal,2.0NRT,289.37,0.77,N
41.859,15.02569,310.99,0.54,0.51,2022-08-30,0018,N,nominal,2.0NRT,289,1.48,N
39.48294,30.04183,300.89,0.57,0.43,2022-08-30,0018,N,nominal,2.0NRT,288.47,1.39,N
39.86482,26.24214,318.54,0.41,0.37,2022-08-30,0018,N,nominal,2.0NRT,294.19,2.08,N
40.2836,23.44293,303.86,0.39,0.36,2022-08-30,0018,N,nominal,2.0NRT,292.18,0.32,N
40.62784,18.0014,305.37,0.56,0.43,2022-08-30,0018,N,nominal,2.0NRT,289.09,0.97,N
40.51757,17.20856,309.14,0.41,0.45,2022-08-30,0020,N,nominal,2.0NRT,291.68,1.94,N
40.50886,17.21198,309.68,0.41,0.45,2022-08-30,0020,N,nominal,2.0NRT,291.05,0.88,N
40.50473,17.21128,307.03,0.41,0.45,2022-08-30,0020,N,nominal,2.0NRT,291.33,0.88,N
40.50427,17.21612,304.87,0.41,0.45,2022-08-30,0020,N,nominal,2.0NRT,292.03,0.88,N
40.50107,17.20574,304.79,0.41,0.45,2022-08-30,0020,N,nominal,2.0NRT,290.17,0.59,N
38.75404,26.94986,308.63,0.44,0.38,2022-08-30,0020,N,nominal,2.0NRT,294.44,1.13,N
38.75411,26.95266,308.7,0.44,0.38,2022-08-30,0020,N,nominal,2.0NRT,294.21,0.87,N
38.7377,26.94231,307.37,0.44,0.38,2022-08-30,0020,N,nominal,2.0NRT,295.95,1.63,N
38.73677,26.9473,319.76,0.44,0.38,2022-08-30,0020,N,nominal,2.0NRT,296.89,1.7,N
38.73309,26.96707,310.38,0.44,0.38,2022-08-30,0020,N,nominal,2.0NRT,294.07,0.73,N
39.35523,22.98551,308.42,0.39,0.36,2022-08-30,0020,N,nominal,2.0NRT,294.08,1.24,N
39.16996,22.84238,305.92,0.39,0.36,2022-08-30,0020,N,nominal,2.0NRT,292.99,1.27,N
38.42616,27.2154,311.53,0.45,0.39,2022-08-30,0020,N,nominal,2.0NRT,294.06,1.77,N
39.16599,22.84603,301.77,0.39,0.36,2022-08-30,0020,N,nominal,2.0NRT,290.82,1.17,N
37.2523,30.44228,310.24,0.44,0.46,2022-08-30,0020,N,nominal,2.0NRT,290.68,1.56,N
37.77024,27.43588,304.54,0.47,0.4,2022-08-30,0020,N,nominal,2.0NRT,294.01,1.17,N
38.12787,23.52581,316.08,0.38,0.36,2022-08-30,0020,N,nominal,2.0NRT,293.39,1.28,N
36.26545,30.00527,322.1,0.43,0.46,2022-08-30,0020,N,nominal,2.0NRT,294.79,2.83,N
36.26615,30.00374,321.74,0.44,0.46,2022-08-30,0020,N,nominal,2.0NRT,294.79,2.61,N
34.72647,33.3144,304.96,0.35,0.57,2022-08-30,0020,N,nominal,2.0NRT,294.04,0.64,N
37.74707,15.00003,296.34,0.49,0.49,2022-08-30,0020,N,nominal,2.0NRT,285.18,1.75,N
37.36878,13.72971,310.4,0.57,0.52,2022-08-30,0020,N,nominal,2.0NRT,290.96,0.88,N
37.36992,13.72985,309.42,0.57,0.52,2022-08-30,0020,N,nominal,2.0NRT,291.16,1.47,N
37.20993,15.16948,305.75,0.47,0.48,2022-08-30,0020,N,nominal,2.0NRT,294.86,2.15,N
36.87025,6.97123,319.61,0.66,0.73,2022-08-30,0020,N,nominal,2.0NRT,291.68,3.6,N
36.87009,6.97958,306.22,0.66,0.73,2022-08-30,0020,N,nominal,2.0NRT,290.84,2.02,N
36.87019,6.97302,338.84,0.66,0.73,2022-08-30,0020,N,nominal,2.0NRT,292.12,3.7,N
36.86998,6.98145,302.76,0.66,0.73,2022-08-30,0020,N,nominal,2.0NRT,290.97,3.7,N
36.79048,7.68177,317.67,0.61,0.71,2022-08-30,0020,N,nominal,2.0NRT,290.25,2.13,N
36.77758,7.66663,315.04,0.61,0.71,2022-08-30,0020,N,nominal,2.0NRT,289.93,1.5,N
36.75975,7.3031,303.02,0.64,0.72,2022-08-30,0020,N,nominal,2.0NRT,290.7,1.48,N
36.74328,6.25253,305.18,0.72,0.76,2022-08-30,0020,N,nominal,2.0NRT,290.94,0.88,N
